Nodes,Processes,Threads,Run1,Run2,Run3,Average
8,1,1,71.694949,71.228867,68.099471,70.34
8,1,2,52.799856,50.251160,51.438431,51.49
8,1,4,42.762632,42.280067,41.463980,42.16
8,1,8,40.656781,37.243323,37.693316,38.53
8,1,16,38.737716,35.840190,37.163118,37.24
8,1,24,37.969879,36.789145,36.033198,36.93
8,1,32,37.202614,37.644836,37.312958,37.38
8,1,36,41.704650,39.548697,39.190756,40.14
