Processes,Run1,Run2,Run3,Average
36,44.892846,44.660746,44.961979,44.83
32,46.794040,46.740147,46.692405,46.74
24,51.937243,52.232669,52.075577,52.08
16,62.529015,62.362425,62.749997,62.54
12,72.988098,72.490790,72.268260,72.58
8,93.599572,92.528752,92.027188,92.71
4,143.376253,145.492866,143.995276,144.28
2,232.918963,236.753027,232.882684,234.18
1,410.115517,408.462995,416.906675,411.82
